Year,Team,NAME ,No.,Pos,Ht,Wt,Age,Exp,College,FirstName,LastName,Ft,In,Inches,,,,,
2022,Arizona,Rashard Lawrence,90,DT,6-2,308,23,3,LSU,Rashard,Lawrence,6,2,74,,,,,
2022,Arizona,Jonathan Ledbetter,93,DE,6-4,280,24,2,Georgia,Jonathan,Ledbetter,6,4,76,,,,,
2022,Arizona,Andy Lee,14,P,6-1,185,40,19,Pittsburgh,Andy,Lee,6,1,73,,,,,
2022,Arizona,Jessie Lemonier,53,OLB,6-2,240,25,3,Liberty,Jessie,Lemonier,6,2,74,,,,,
2022,Arizona,Greg Long,65,OL,6-3,304,25,R,Purdue,Greg,Long,6,3,75,,,,,
2022,Arizona,Jesse Luketa,43,OLB,6-3,247,23,R,Penn State,Jesse,Luketa,6,3,75,,,,,
2022,New Orleans,Wil Lutz,3,K,5-11,184,28,7,Georgia State,Wil,Lutz,5,11,71,,,,,
2022,New Orleans,Dylan Mabin,37,DB,6-1,196,24,2,Fordham,Dylan,Mabin,6,1,73,,,,,
2022,Arizona,Koda Martin,60,OL,6-7,300,26,2,Syracuse,Koda,Martin,6,7,79,,,,,
2022,New Orleans,Nick Martin,72,C,6-4,299,29,7,Notre Dame,Nick,Martin,6,4,76,,,,,
2022,New Orleans,Tyrann Mathieu,32,FS,5-9,190,30,10,LSU,Tyrann,Mathieu,5,9,69,,,,,
2022,Arizona,Christian Matthew,35,CB,6-2,195,25,R,Valdosta State,Christian,Matthew,6,2,74,,,,,
2022,New Orleans,Marcus Maye,6,S,5-11,207,29,6,Florida,Marcus,Maye,5,11,71,,,,,
2022,Arizona,Trey McBride,85,TE,6-3,249,22,R,Colorado State,Trey,McBride,6,3,75,,,,,
2022,Arizona,Colt McCoy,12,QB,6-1,212,35,13,Texas,Colt,McCoy,6,1,73,,,,,
2022,New Orleans,Erik McCoy,78,C/G,6-4,303,24,4,Texas A&M,Erik,McCoy,6,4,76,,,,,
2022,Arizona,Trace McSorley,19,QB,6-0,202,26,4,Penn State,Trace,McSorley,6,0,72,,,,,
2022,New Orleans,Kirk Merritt,85,WR,6-0,208,25,1,Arkansas State,Kirk,Merritt,6,0,72,,,,,
2022,Arizona,Joshua Miles,66,OL,6-5,314,26,4,Morgan State,Joshua,Miles,6,5,77,,,,,
2022,Arizona,Rondale Moore,4,WR,5-7,180,22,2,Purdue,Rondale,Moore,5,7,67,,,,,
2022,Arizona,Byron Murphy Jr.,7,CB,5-11,190,24,4,Washington,Byron,Murphy Jr.,5,11,71,,,,,
2022,Arizona,Justin Murray,71,OL,6-5,315,29,5,Cincinnati,Justin,Murray,6,5,77,,,,,
2022,Arizona,Kyler Murray,1,QB,5-10,207,25,4,Oklahoma,Kyler,Murray,5,10,70,,,,,
2022,Arizona,Haggai Ndubuisi,69,OL,6-6,298,21,R,None,Haggai,Ndubuisi,6,6,78,,,,,
2022,Arizona,Ben Niemann,56,ILB,6-2,235,27,5,Iowa,Ben,Niemann,6,2,74,,,,,
2022,New Orleans,Chris Olave,12,WR,6-1,189,22,R,Ohio State,Chris,Olave,6,1,73,,,,,
2022,New Orleans,David Onyemata,93,DT,6-4,300,29,7,Manitoba (Canada),David,Onyemata,6,4,76,,,,,
2022,New Orleans,Devine Ozigbo,28,RB,6-0,225,25,4,Nebraska,Devine,Ozigbo,6,0,72,,,,,
2022,New Orleans,John Parker Romo,15,K,5-11,175,24,R,Virginia Tech,John,Parker Romo,5,11,71,,,,,
2022,New Orleans,Scott Patchan,60,DE,6-4,251,25,R,Colorado State,Scott,Patchan,6,4,76,,,,,
2022,Arizona,JaVonta Payton,32,WR,6-0,175,23,R,Tennessee,JaVonta,Payton,6,0,72,,,,,
2022,New Orleans,Andrus Peat,75,G/T,6-7,316,28,8,Stanford,Andrus,Peat,6,7,79,,,,,
2022,New Orleans,Trevor Penning,70,OT,6-7,332,23,R,Northern Iowa,Trevor,Penning,6,7,79,,,,,
2022,Arizona,Chris Pierce Jr.,49,TE,6-3,230,23,R,Vanderbilt,Chris,Pierce Jr.,6,3,75,,,,,
2022,Arizona,T.J. Pledger,21,RB,5-9,196,22,R,Utah,T.J.,Pledger,5,9,69,,,,,
2022,Arizona,Matt Prater,5,K,5-10,201,38,16,UCF,Matt,Prater,5,10,70,,,,,
2022,New Orleans,Adam Prentice,46,FB,6-0,245,25,2,South Carolina,Adam,Prentice,6,0,72,,,,,
2022,New Orleans,Isaiah Pryor,42,LB,6-1,217,24,R,Notre Dame,Isaiah,Pryor,6,1,73,,,,,
2022,Arizona,Justin Pugh,67,OL,6-5,311,31,10,Syracuse,Justin,Pugh,6,5,77,,,,,
2022,New Orleans,Ryan Ramczyk,71,T,6-6,314,28,6,Wisconsin,Ryan,Ramczyk,6,6,78,,,,,
2022,Arizona,Christian Ringo,70,DT,6-1,298,30,5,Louisiana-Lafayette,Christian,Ringo,6,1,73,,,,,
2022,Arizona,Ronnie Rivers,37,RB,5-9,195,23,R,Fresno State,Ronnie,Rivers,5,9,69,,,,,
2022,New Orleans,Malcolm Roach,97,DL,6-3,290,24,3,Texas,Malcolm,Roach,6,3,75,,,,,
2022,New Orleans,Bradley Roby,21,CB,5-11,194,30,9,Ohio State,Bradley,Roby,5,11,71,,,,,
2022,New Orleans,Cesar Ruiz,51,C/G,6-4,316,23,3,Michigan,Cesar,Ruiz,6,4,76,,,,,
2022,Arizona,Myjai Sanders,41,OLB,6-5,255,24,R,Cincinnati,Myjai,Sanders,6,5,77,,,,,
2022,Arizona,Bernhard Seikovits,80,TE,6-5,262,25,1,Austria,Bernhard,Seikovits,6,5,77,,,,,
2022,New Orleans,Nephi Sewell,45,LB,6-0,228,23,R,Utah,Nephi,Sewell,6,0,72,,,,,
2022,Arizona,Isaiah Simmons,9,ILB,6-4,238,24,3,Clemson,Isaiah,Simmons,6,4,76,,,,,
2022,New Orleans,Abram Smith,33,RB,5-11,221,23,R,Baylor,Abram,Smith,5,11,71,,,,,
2022,Arizona,Lecitus Smith,54,OL,6-3,320,24,R,Virginia Tech,Lecitus,Smith,6,3,75,,,,,
2022,New Orleans,Tre'Quan Smith,10,WR,6-2,210,26,5,Central Florida,Tre'Quan,Smith,6,2,74,,,,,
2022,New Orleans,Daniel Sorensen,25,S,6-1,208,32,9,BYU,Daniel,Sorensen,6,1,73,,,,,
2022,New Orleans,Kentavius Street,69,DT,6-2,287,25,4,N.C. State,Kentavius,Street,6,2,74,,,,,
2022,New Orleans,Alontae Taylor,27,CB,6-0,195,23,R,Tennessee,Alontae,Taylor,6,0,72,,,,,
2022,Arizona,Cameron Thomas,97,OLB,6-5,270,22,R,San Diego State,Cameron,Thomas,6,5,77,,,,,
2022,New Orleans,Michael Thomas,13,WR,6-3,212,29,7,Ohio State,Michael,Thomas,6,3,75,,,,,
2022,New Orleans,Bryce Thompson,31,CB,5-11,190,22,1,Tennessee,Bryce,Thompson,5,11,71,,,,,
2022,Arizona,Deionte Thompson,22,S,6-1,195,25,4,Alabama,Deionte,Thompson,6,1,73,,,,,
2022,Arizona,Jalen Thompson,34,S,5-11,190,24,4,Washington State,Jalen,Thompson,5,11,71,,,,,
2022,New Orleans,Calvin Throckmorton,76,OL,6-5,309,25,2,Oregon,Calvin,Throckmorton,6,5,77,,,,,
2022,New Orleans,Adam Trautman,82,TE,6-5,253,25,3,Dayton,Adam,Trautman,6,5,77,,,,,
2022,Arizona,Ezekiel Turner,47,ILB,6-2,214,26,5,Washington,Ezekiel,Turner,6,2,74,,,,,
2022,New Orleans,Payton Turner,98,DE,6-6,270,23,2,Houston,Payton,Turner,6,6,78,,,,,
2022,New Orleans,Shy Tuttle,99,DT,6-3,300,26,4,Tennessee,Shy,Tuttle,6,3,75,,,,,
2022,Arizona,Tanner Vallejo,51,ILB,6-1,230,27,6,Boise State,Tanner,Vallejo,6,1,73,,,,,
2022,New Orleans,Nick Vannett,81,TE,6-6,261,29,7,Ohio State,Nick,Vannett,6,6,78,,,,,
